TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,DaysSinceLastTransaction,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,-573.0,3
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,-496.0,1
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,-483.0,5
184.5,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,-549.0,2
13.45,Credit,Atlanta,Online,,Student,198.0,1.0,7429.4,-385.0,0
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,-581.0,5
7.08,Credit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,-628.0,1
171.42,Credit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,-546.0,0
106.23,Credit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,-594.0,2
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.88,-584.0,6
17.78,Credit,Albuquerque,Online,52.0,Engineer,59.0,1.0,7599.52,-601.0,2
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,-637.0,5
494.52,Credit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,-516.0,5
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,-350.0,6
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,-630.0,5
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,-328.0,7
555.8,Credit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,-371.0,5
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,-326.0,0
18.68,Credit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.37,-622.0,3
71.48,Credit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,-515.0,5
59.32,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,-615.0,3
85.77,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,-451.0,1
52.2,Debit,Atlanta,Online,39.0,Engineer,120.0,1.0,8974.93,-517.0,2
345.84,Debit,Fort Worth,Online,22.0,Student,142.0,3.0,1402.5,-552.0,4
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,-613.0,5
7.49,Credit,Houston,Online,65.0,Retired,276.0,1.0,3634.67,-381.0,0
