TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,DaysSinceLastTransaction,TransactionType,Location,Channel,CustomerOccupation,Target,cluster
27036.8565,4358.000000000001,23500.0,5.0,76053120.24539998,-209243.99999999997,Debit,San Diego,ATM,Doctor,3,3
721948.384,4234.000000000001,40900.0,5.0,204687828.00339997,-181216.0,Debit,Houston,ATM,Doctor,1,1
242331.82650000002,1196.0,16250.0,5.0,16697010.388999997,-176484.0,Debit,Mesa,Online,Student,5,5
354028.085,1630.0,7260.0,5.0,127479778.91439997,-200507.99999999997,Debit,Raleigh,Online,Student,2,2
25808.7925,,57430.0,5.0,110525353.40599997,-140812.0,Credit,Atlanta,Online,Student,0,0
176822.2875,1134.0,49890.0,5.0,11628951.3732,-212155.99999999997,Debit,Oklahoma City,ATM,Student,5,5
13585.718,2312.0,40320.0,5.0,198109333.57539997,-229263.99999999997,Credit,Seattle,ATM,Doctor,1,1
328929.527,4172.000000000001,84400.0,5.0,41599036.70759999,-199415.99999999997,Credit,Indianapolis,Branch,Retired,0,0
203839.6955,3180.0,24950.0,5.0,135306134.29359996,-216887.99999999997,Credit,Detroit,Branch,Engineer,2,2
1565705.1060000001,3428.0,34810.0,5.0,15202344.321199998,-213247.99999999997,Debit,Nashville,ATM,Doctor,6,6
34117.413,3242.0,17120.0,5.0,113056184.41479999,-219435.99999999997,Credit,Albuquerque,Online,Engineer,2,2
364620.13700000005,1320.0,50180.0,5.0,22743810.129399996,-232539.99999999997,Debit,Memphis,Online,Student,5,5
948909.9619999999,1506.0,32200.0,5.0,24100717.584799998,-188495.99999999997,Credit,Mesa,Branch,Student,5,5
1500080.436,1630.0,35680.0,5.0,2822070.0605999995,-128072.0,Debit,Memphis,ATM,Student,6,6
320429.02150000003,1134.0,38870.0,5.0,4462081.8782,-229991.99999999997,Debit,Louisville,Online,Student,5,5
893128.9924999999,2250.0,37420.0,5.0,51556038.78959999,-120064.0,Debit,Denver,ATM,Engineer,7,7
1066497.0899999999,1196.0,45830.0,5.0,16829562.1424,-135716.0,Credit,Austin,Branch,Student,5,5
945858.9905000001,2436.0,67870.0,5.0,76019796.34779999,-119336.0,Debit,Columbus,Online,Engineer,0,0
35844.378000000004,3676.0,30750.0,5.0,118245935.16379999,-227079.99999999997,Credit,Albuquerque,Branch,Retired,3,3
137159.65800000002,1134.0,49020.0,5.0,97719306.84659998,-188131.99999999997,Credit,Columbus,Online,Student,5,5
113826.44200000001,4420.000000000001,11030.0,5.0,85554596.54859999,-224531.99999999997,Debit,Los Angeles,Branch,Retired,3,3
164580.0245,2374.0,26980.0,5.0,136065591.8706,-164836.0,Debit,Las Vegas,Branch,Doctor,1,1
100164.23000000001,2436.0,34810.0,5.0,133517801.37819998,-188859.99999999997,Debit,Atlanta,Online,Engineer,2,2
663615.3439999999,1382.0,41190.0,13.0,20864729.099999998,-201599.99999999997,Debit,Fort Worth,Online,Student,4,4
279269.689,1320.0,27850.0,5.0,28726491.120399997,-223803.99999999997,Debit,Raleigh,Online,Student,5,5
14372.4465,4048.0000000000005,80050.0,5.0,54072141.825799994,-139356.0,Credit,Houston,Online,Retired,0,0
473821.89050000004,1444.0,45830.0,21.0,10017354.128999999,-207059.99999999997,Debit,Miami,ATM,Student,4,4
77368.292,2312.0,27560.0,5.0,39966760.7948,-213975.99999999997,Debit,Milwaukee,Branch,Engineer,2,2
244557.6925,2746.0,57140.0,5.0,26362577.134399995,-237271.99999999997,Debit,Las Vegas,Online,Doctor,0,0
107782.06450000001,1692.0,82080.0,5.0,20108841.9406,-150276.0,Debit,Detroit,Branch,Student,0,0
54322.9035,3676.0,5810.0,5.0,123989844.47779997,-173936.0,Credit,Miami,Online,Doctor,1,1
113442.672,1816.0,74540.0,5.0,146143839.38359997,-232539.99999999997,Debit,Baltimore,ATM,Doctor,0,0
760728.3425,3056.0,48730.0,13.0,144157943.36099997,-148456.0,Debit,New York,ATM,Engineer,4,4
1684385.9785,1382.0,43510.0,5.0,5935920.51,-219799.99999999997,Debit,Los Angeles,Online,Student,6,6
489805.911,2808.0,14510.0,5.0,220411947.1138,-136808.0,Credit,San Francisco,Branch,Doctor,1,1
239395.986,3056.0,13060.0,5.0,85760341.86279999,-140812.0,Debit,Seattle,Branch,Engineer,7,7
149920.0105,1630.0,42060.0,5.0,13398242.0614,-127708.0,Debit,Milwaukee,Branch,Student,5,5
1245871.1879999998,4668.000000000001,39740.0,,72537002.74639998,-223803.99999999997,Debit,San Jose,ATM,Retired,3,3
1526080.8535,4110.000000000001,26110.0,9.0,117747713.14119998,-142268.0,Debit,Mesa,ATM,Doctor,6,6
644023.8855,3428.0,62650.0,5.0,15165301.238599999,-237271.99999999997,Debit,Oklahoma City,Online,Retired,3,3
630284.9195000001,3924.0,34520.0,5.0,64322066.91839998,-168840.0,Debit,San Antonio,ATM,Retired,3,3
65279.53700000001,2374.0,5520.0,5.0,211465224.44519997,-242731.99999999997,Debit,Philadelphia,Online,Doctor,1,1
463249.027,3552.0,33650.0,5.0,198709014.96479997,-205967.99999999997,Credit,Charlotte,Online,Doctor,1,1
